id,code,name,print_name,rok_id,inn,okpo,sfkr,account_type_id,budget_id,ipc_client_id,version,uuid,created_by,created_date,last_modified_by,last_modified_date
36585,99999999999999,Нераспределеный счет,Нераспределеный счет,3,,99999999,99,,,,1,305398a6-70b7-4ac9-b50a-5b9793a7425f,import,2023-01-19,import,2023-01-19
97287,03009199210041,Профессиональный лицей 65,ПЛ 65,65,,02563983,302010005,66199,,00005815,1,1441bffd-327e-4744-a735-1ff3612f9021,import,2023-01-19,import,2023-01-19
97289,02212201610065,Учебно-методический кабинет при Кызыл-Кийском городском отделе образования,Учебно-методический кабинет ,65,,28847778,1781,66199,,,1,c48072b8-216f-40c6-92ac-4f8428ec24e1,import,2023-01-19,import,2023-01-19
97290,02705201610015,Школа лицей Жетиген,Школа лицей Жетиген,39,,27324995,158921-3310-у-е,66199,,00004870,1,46511792-47ad-4ad6-a819-0a6431841f93,import,2023-01-19,import,2023-01-19
97292,02505201510040,Фонд развития Ноокенского района,Фонд развития Ноокенского района,53,,29050562,404000455485,66199,,00004826,1,1d622b76-51a5-4736-8644-ccb6c4db0c94,import,2023-01-19,import,2023-01-19
97293,03105201610125,Фонд развития Жумгальского района,Фонд развития Жумгальского района,31,,20278252,603100011836,66199,,,1,24cb4270-21fe-406c-9ffc-c1c80350f12d,import,2023-01-19,import,2023-01-19
97295,00303199910207,Подразделение службы судебных исполнителей по Ыссыкатинскому району,ПССИ по Ыссыкатинскому району,12,,20888217,01-000015-031,66199,,,1,51d73caa-bff3-4df4-af1d-cf4703aa381b,import,2023-01-19,import,2023-01-19
97297,02505201610180,Централизованная библиотечная система г.Ош,Централизованная библиотечная система г.Ош,39,,27324972,158903-3310-У-е,66208,,00004463,1,9ab56bbd-cfef-43f2-9f6b-0348051b6bb9,import,2023-01-19,import,2023-01-19
97298,02006201610331,Фонд развития Чуйской области,Фонд развития Чуйской области,11,,29326113,201000173186,66199,,,1,d96aa1f9-24c0-4652-9977-a7d9823d3c81,import,2023-01-19,import,2023-01-19
97299,01403197010012,Министерство юстиции Кыргызской Республики,Министерство юстиции,8,,00015711,01-00088-15,66199,,00004999,1,6d37352e-1dc1-4c2a-b0f5-690f43200bb0,import,2023-01-19,import,2023-01-19
