id,code,name,short_name,rok_id,active,version,uuid,created_by,created_date,last_modified_by,last_modified_date
4711,41711000000000,г.Бишкек,,9,true,1,31bf39cc-233a-409f-93f0-2fb4b499dc06,import,2023-01-12,import,2023-01-12
4712,41721000000000,г.Ош,,39,true,1,737ba9f3-71a5-462c-bd1b-e46d42fb282e,import,2023-01-12,import,2023-01-12
34557,41700000000000,Республиканский бюджет,,3,true,1,6668689c-1fe5-44ea-b676-4369a718c0e5,import,2023-01-12,import,2023-01-12
34560,41711204000000,Свердловский Район,,7,true,1,b9b930b8-3017-4455-8d81-b1682d932168,import,2023-01-12,import,2023-01-12
34561,41711203000000,Первомайский Район,,5,true,1,86f38708-11a4-4ff2-9c5b-7a9396143279,import,2023-01-12,import,2023-01-12
34562,41711202000000,Октябрьский Район,,6,true,1,72f1ab09-9fcd-43d4-828c-5d57bb30c0a3,import,2023-01-12,import,2023-01-12
34563,41711201000000,Ленинский Район,,8,true,1,647827a4-c1dc-402b-99db-2f6fd1fff099,import,2023-01-12,import,2023-01-12
101273,41702205805000,Ак-Булунский айылный аймак,,20,true,1,ce8753fb-4416-484b-92d9-5c48d3600159,import,2023-01-12,import,2023-01-12
101274,41702205807000,Берю-Башский айылный аймак,,20,true,1,410a5077-8572-47f3-9746-2439cbd0895a,import,2023-01-12,import,2023-01-12
101275,41702205812000,Кара-Джалский айылный аймак,,20,true,1,eaa13595-cde0-4368-bc66-57984a1668a2,import,2023-01-12,import,2023-01-12
101276,41702205813000,Караколский айылный аймак,,20,true,1,b9c8c8fb-ff95-49a7-aeca-ad553356b82a,import,2023-01-12,import,2023-01-12
101277,41702205818000,Кереге-Ташский айылный аймак,,20,true,1,2e1db0b7-1a74-4c97-adb8-670c47bc5f2b,import,2023-01-12,import,2023-01-12
101278,41702205825000,Нововознесеновский айылный аймак,,20,true,1,384e6056-d288-4b68-a7c0-00d24689b704,import,2023-01-12,import,2023-01-12
101279,41702205832000,Октябрьский айылный аймак,,20,true,1,727f12ad-f72b-4663-abb5-ed589fc8889e,import,2023-01-12,import,2023-01-12
101280,41702205835000,Отрадненский айылный аймак,,20,true,1,2fdc0fa3-f23a-4206-924e-c807a1f320ac,import,2023-01-12,import,2023-01-12
101281,41702205840000,Ак-Чийский айылный аймак,,20,true,1,5bdc4b0c-0fb0-4b79-9945-3da104129f13,import,2023-01-12,import,2023-01-12
101282,41702205844000,Тепкенский айылный аймак,,20,true,1,b6e89305-6254-4384-a6b2-3ec85d151e7a,import,2023-01-12,import,2023-01-12
101283,41702205848000,Теплоключенский айылный аймак,,20,true,1,503b75fd-836c-4471-9e8e-472a9675aff7,import,2023-01-12,import,2023-01-12
101284,41702205850000,Челпекский айылный аймак,,20,true,1,e023e40f-f5d5-4e64-b7f7-8c58f138f1a0,import,2023-01-12,import,2023-01-12
101285,41702205852000,Энильчекский айылный аймак,,20,true,1,70fc1eef-259f-4e57-8d9f-22e0557200d5,import,2023-01-12,import,2023-01-12
101286,41702210805000,Ак-Дебенский айылный аймак,,21,true,1,8122f90b-4a47-4812-b5ba-03e7e45502cc,import,2023-01-12,import,2023-01-12
101287,41702210810000,Ак-Шыйракский айылный аймак,,21,true,1,0a7560fb-6eb3-4fd0-8e24-dbcb2e38768e,import,2023-01-12,import,2023-01-12
101288,41702210815000,Барскоонский айылный аймак,,21,true,1,d0a16a5d-188b-4100-8890-8aa9b151e5e8,import,2023-01-12,import,2023-01-12
101289,41702210820000,Дарканский айылный аймак,,21,true,1,ba906909-5b51-47b4-8a73-95a36b740c80,import,2023-01-12,import,2023-01-12
