id,code,name,short_name,parent,active,version,uuid,created_by,created_date,last_modified_by,last_modified_date
94445,1,Доходы,,,true,1,71c748d6-7f05-4057-94fa-5c4ee358c0d2,import,2023-01-12,import,2023-01-12
94446,11,Налоговые доходы,,94445,true,1,aaa1b8da-c884-44c0-a586-8b605595e52a,import,2023-01-12,import,2023-01-12
94447,111,Налоги на доходы и прибыль,,94446,true,1,2864e9f9-c2ae-4d82-8dc1-86b4112a5288,import,2023-01-12,import,2023-01-12
94448,1111,Налоги на доходы и прибыль,,94447,true,1,c3e84f96-1b6a-4116-a11b-dfe41dbf0627,import,2023-01-12,import,2023-01-12
94449,11111,Подоходный налог с физических лиц-резидентов Кыргызской Республики ,,94448,true,1,71b6c349-d672-4ed5-8f1f-3af39f47f35a,import,2023-01-12,import,2023-01-12
94450,11111100,"Подоходный налог, уплачиваемый налоговым агентом",,94449,true,1,423abaf7-6c7e-40fb-b63d-46da399c0314,import,2023-01-12,import,2023-01-12
94451,11111200,Подоходный налог по единой налоговой декларации ,,94449,true,1,b6d173bd-52f6-4ded-aa88-9a478e58aadc,import,2023-01-12,import,2023-01-12
94452,11112,Налог на доходы лиц-нерезидентов Кыргызской Республики ,,94448,true,1,4818c1d8-1513-46c1-a02a-c1ffe49ad0be,import,2023-01-12,import,2023-01-12
94453,11112100,Налог на доходы лиц-нерезидентов Кыргызской Республики ,,94452,true,1,67514405-8826-4b60-9237-157d872da89d,import,2023-01-12,import,2023-01-12
94454,11113,Налог на прибыль,,94448,true,1,baec3c93-45bc-4b25-b45b-587b8271a6aa,import,2023-01-12,import,2023-01-12
94455,11113100,Налог на прибыль ,,94454,true,1,b763e6af-48f9-4954-ba70-eaf785a49dcc,import,2023-01-12,import,2023-01-12
94456,11113200,Налог на проценты,,94454,true,1,6620b0ae-731c-4a4f-a458-85daa9d33ec3,import,2023-01-12,import,2023-01-12
94457,11113300,Налог на доходы золотодобывающих компаний,,94454,true,1,75e92f6b-445a-48d7-a221-e4d5b4c61a5f,import,2023-01-12,import,2023-01-12
94458,1112,Налоги по специальным режимам,,94447,true,1,f5cd05ee-1edf-4477-80ec-d9496feac62b,import,2023-01-12,import,2023-01-12
94459,11121,Поступления по единому налогу,,94458,true,1,f8dca56c-3221-4348-a30a-527d561b0cfe,import,2023-01-12,import,2023-01-12
94460,11121100,Единый налог для субъектов малого предпринимательства ,,94459,true,1,3e7665a3-0a9b-4b7f-b86d-6d4576c146c0,import,2023-01-12,import,2023-01-12
94461,11122,Налог на основе патента,,94458,true,1,632ed4a0-a80c-47b5-b577-6be21c121172,import,2023-01-12,import,2023-01-12
94462,11122100,Налог на основе обязательного патента,,94461,true,1,61e52ceb-06e3-4bb0-82a9-0cb490bca776,import,2023-01-12,import,2023-01-12
94463,11122200,Налог на основе патента,,94461,true,1,5aa6bda3-2c9d-4006-b9fe-5d2be19a2ac7,import,2023-01-12,import,2023-01-12
1120392,11124,Налог на майнинг ,,94458,true,1,e9101fa6-b075-401b-8aae-e7309b537662,import,2023-01-12,import,2023-01-12
1120393,11124100,Налог на майнинг ,,1120392,true,1,cdde6236-6083-41f2-af4e-ec0a333159d1,import,2023-01-12,import,2023-01-12
