id,code,name,short_name,parent,active,version,uuid,created_by,created_date,last_modified_by,last_modified_date
1,440101,ТС Казначейство,,,true,1,739c333a-9f97-4f82-b898-f46685685c95,import,2023-01-11,import,2023-01-11
2,4401,Центральное Казначейство,,1,true,1,38ec940d-41e1-41d6-8552-3405e4a88402,import,2023-01-11,import,2023-01-11
3,440100,Центральное Казначейство,,2,true,1,0b3461b3-da76-4c57-b458-a2bb0ea8ceb0,import,2023-01-11,import,2023-01-11
4,4402,г.Бишкек,,1,true,1,2bfd63ba-b48b-4a3a-b166-050af0546b94,import,2023-01-11,import,2023-01-11
5,440201,Первомайское ТУМФ,,4,true,1,75d77e53-5c79-4390-b925-5c7b2b75c1ba,import,2023-01-11,import,2023-01-11
6,440203,Октябрьское ТУМФ,,4,true,1,bcd33a36-ca5d-45b5-8d23-02b68f878c05,import,2023-01-11,import,2023-01-11
7,440204,Свердловское ТУМФ,,4,true,1,834e4ee7-b54a-47c9-b472-03986b55ca0c,import,2023-01-11,import,2023-01-11
8,440205,Ленинское ТУМФ,,4,true,1,d29b580b-555d-4566-8fbd-18bcf178a4e6,import,2023-01-11,import,2023-01-11
9,440206,Бишкекское ТУМФ,,4,true,1,5e1d222f-3e48-4547-be3c-7d3a16629814,import,2023-01-11,import,2023-01-11
10,4403,Чуйская область,,1,true,1,ccf2e20c-1852-4905-81d0-38be2af19afe,import,2023-01-11,import,2023-01-11
11,440301,Аламудунское ТУМФ,,10,true,1,2526dee7-93e1-412c-bfd4-75f609ff2cf8,import,2023-01-11,import,2023-01-11
12,440302,Иссыкатинское ТУМФ,,10,true,1,d6f87657-b167-4bac-b0b0-dea5364909b0,import,2023-01-11,import,2023-01-11
13,440304,Кеминское ТУМФ,,10,true,1,12441096-cd45-408d-8f01-fe5589bef3e6,import,2023-01-11,import,2023-01-11
14,440305,Сокулукское ТУМФ,,10,true,1,d642a91f-fe6c-4d64-b862-558c65f1981e,import,2023-01-11,import,2023-01-11
15,440306,Жайылское ТУМФ,,10,true,1,180a3ba6-2028-4f23-8f50-0c9185fe016f,import,2023-01-11,import,2023-01-11
16,440307,Московское ТУМФ,,10,true,1,fdb4f33a-e414-43b6-abbe-853fe9aa097b,import,2023-01-11,import,2023-01-11
17,440308,Панфиловское ТУМФ,,10,true,1,3aced299-8878-4d93-a6e8-8d5138c25060,import,2023-01-11,import,2023-01-11
18,440309,Чуйское ТУМФ,,10,true,1,e1b4af69-44b7-44d0-b26c-78505e151c45,import,2023-01-11,import,2023-01-11
19,4404,Иссык-Кульская область,,1,true,1,0beaa984-5db7-466a-a1d5-56f1ff189cdb,import,2023-01-11,import,2023-01-11
20,440401,Аксуйское ТУМФ,,19,true,1,05c30717-9d34-450f-a1a6-e8cd2e8a2d6d,import,2023-01-11,import,2023-01-11
21,440402,Жетыогузское ТУМФ,,19,true,1,53236fb8-e1f5-4a81-8607-ef063b8bfbd1,import,2023-01-11,import,2023-01-11
22,440403,Иссык-Кульское ТУМФ,,19,true,1,57fabb2e-b820-4c95-8360-f7e7634c331f,import,2023-01-11,import,2023-01-11
23,440404,Тонское ТУМФ,,19,true,1,43b7d4d7-30ac-4ac1-af24-37e0ff9df43f,import,2023-01-11,import,2023-01-11
24,440405,Тюпское ТУМФ,,19,true,1,af2ad9e1-c003-43fb-9055-77587f209934,import,2023-01-11,import,2023-01-11
25,440406,Балыкчинское ТУМФ,,19,true,1,b139528f-6f0b-43a2-b2ed-52a3ac671994,import,2023-01-11,import,2023-01-11
26,440407,Каракольское ТУМФ,,19,true,1,06e36805-800f-44ce-8f2e-e78f8bfcb039,import,2023-01-11,import,2023-01-11
27,4405,Нарынская область,,1,true,1,a272a2ce-ada4-4006-a717-f1a9338e8137,import,2023-01-11,import,2023-01-11
