id,code,name,short_name,parent,active,version,uuid,created_by,created_date,last_modified_by,last_modified_date
145567,-----------,Не найден,,,false,1,895cb62a-b457-4af5-bb38-101e7f198054,import,2023-01-12,import,2023-01-12
96725,11,Жогорку Кенеш Кыргызской Республики,,,true,1,45726288-3634-48e4-848a-ea1300391383,import,2023-01-12,import,2023-01-12
96726,11110,Жогорку Кенеш Кыргызской Республики (аппарат),,96725,true,1,b011ebb2-c11d-432f-ae6e-e4af5e22ba51,import,2023-01-12,import,2023-01-12
96727,11120,Управление делами Жогорку Кенеша Кыргызской Республики,,96725,true,1,bdcf0ceb-44e3-4c00-93a1-404404b79caa,import,2023-01-12,import,2023-01-12
96728,11130,Гараж Управления делами Жогорку Кенеша Кыргызской Республики,,96725,true,1,245efc31-f3e3-4e9c-9780-73c830eb4e89,import,2023-01-12,import,2023-01-12
96729,11810,Резервный фонд Торага Жогорку Кенеша Кыргызской Республики,,96725,true,1,112f98e9-b443-4a80-bfff-f6d79e12bf29,import,2023-01-12,import,2023-01-12
96730,12,Администрация Президента Кыргызской Республики,,,true,1,0c622c0b-53a0-4de2-a85a-6b4fc25b02ca,import,2023-01-12,import,2023-01-12
96731,12110,Администрация Президента Кыргызской Республики (аппарат),,96730,true,1,18fcb9a8-5b57-4e03-86de-68cca06f3928,import,2023-01-12,import,2023-01-12
96732,12120,Администрация Президента Кыргызской Республики (общехозяйственная деятельность),,96730,true,1,b6f31cd6-e368-4e52-b856-93898eeb19cc,import,2023-01-12,import,2023-01-12
1668996,12710,Фонд Президента Кыргызской Республики,,96730,true,1,e57eef68-4d28-4902-8d62-d75364773fc8,import,2023-01-12,import,2023-01-12
96733,12810,Резервный фонд  Президента Кыргызской Республики,,96730,true,1,473ca24b-8729-485e-8906-9a17dd6b7bab,import,2023-01-12,import,2023-01-12
1534187,12820,Резервный фонд Председателя Кабинета Министров Кыргызской Республики,,96730,true,1,15082f8a-6e32-4c3f-aa07-7105d9da09d4,import,2023-01-12,import,2023-01-12
96734,13,Архив Президента Кыргызской Республики,,,true,1,f4bbb416-5547-4bf1-a968-a9904b26646f,import,2023-01-12,import,2023-01-12
96735,13120,Архив Президента Кыргызской Республики,,96734,true,1,51964006-b855-43e0-9d17-fb33e84fe2bb,import,2023-01-12,import,2023-01-12
1963418,14,Фонды,,,true,1,1e7598d8-6dcd-4a9e-a743-894d6a90b172,import,2023-01-12,import,2023-01-12
1963475,14710,Фонд Президента Кыргызской Республики,,1963418,true,1,d3a52199-3118-44b2-9247-3916d3f2f9ac,import,2023-01-12,import,2023-01-12
1963476,14810,Резервный фонд Председателя Кабинета Министров Кыргызской Республики,,1963418,true,1,90a14e7f-5f39-4d4a-ab21-10d975259f83,import,2023-01-12,import,2023-01-12
96739,15,Управление делами Президента Кыргызской Республики ,,,true,1,d442cd15-96a8-430e-88ad-1b699f225125,import,2023-01-12,import,2023-01-12
96740,15120,Управление делами Президента  Кыргызской Республики ,,96739,true,1,25000683-cc51-421e-9581-d8aa9efa1a41,import,2023-01-12,import,2023-01-12
96741,15130,Фонд образования при Президенте Кыргызской Республики,,96739,true,1,aee84037-4d65-44a5-97ad-0a3f131fbb58,import,2023-01-12,import,2023-01-12
96742,15140,Расходы государственного значения,,96739,true,1,e2c68358-8cef-450f-a5e7-eaf6240b6c01,import,2023-01-12,import,2023-01-12
1582566,15150,"Государственная дирекция по строительству, реконструкции социально-экономических и административных объектов при Управлении делами Президента КР ",,96739,true,1,597524ee-6045-4dac-8a1f-7471b666fda7,import,2023-01-12,import,2023-01-12
96743,16,Верховный суд Кыргызской Республики,,,true,1,07b21bf5-f214-4514-a2bf-7ff3f2492a64,import,2023-01-12,import,2023-01-12
96744,16110,Верховный суд Кыргызской Республики (аппарат),,96743,true,1,4a1adef8-7d82-4f81-8bd8-7ed105f05196,import,2023-01-12,import,2023-01-12
96745,16120,Верховный суд Кыргызской Республики (подведомственные учреждения),,96743,true,1,f838695c-820e-4492-9391-be072f90b177,import,2023-01-12,import,2023-01-12
96747,16310,Судебный департамент  при Верховном суде Кыргызской Республики (аппарат),,96743,true,1,e3875bae-c909-48fe-ba8e-18bec71111ed,import,2023-01-12,import,2023-01-12
96748,16320,Судебный департамент при Верховном суде Кыргызской Республики  (подведомственные учреждения),,96743,true,1,50ed5b50-cb3b-4853-becc-6a34bac4a683,import,2023-01-12,import,2023-01-12
96749,17,Счетная палата Кыргызской Республики,,,true,1,e7b24231-9865-498b-8ca0-31026d6f756b,import,2023-01-12,import,2023-01-12
96750,17110,Счетная палата Кыргызской Республики (аппарат),,96749,true,1,c59e13e3-4383-4564-b9e7-70f1da1c8cdc,import,2023-01-12,import,2023-01-12
96751,17120,Счетная палата Кыргызской Республики (территориальные органы),,96749,true,1,7356f0fb-ae23-48b1-bdd8-396efd548427,import,2023-01-12,import,2023-01-12
96752,18,Центральная комиссия по выборам и проведению референдумов Кыргызской Республики,,,true,1,9e5e6d84-bd24-410d-8c92-138af57d4898,import,2023-01-12,import,2023-01-12
96753,18110,Центральная комиссия по выборам и проведению референдумов Кыргызской Республики (аппарат),,96752,true,1,6b17c9bb-68e0-4f7f-a37c-858dc08f2271,import,2023-01-12,import,2023-01-12
96754,18120,Центральная комиссия по выборам и проведению референдумов Кыргызской Республики (выборы),,96752,true,1,596b345d-0622-4864-aad6-d26056e756cf,import,2023-01-12,import,2023-01-12
96755,19,Генеральная прокуратура Кыргызской Республики,,,true,1,207f556e-703e-4a6a-8833-5d04873b3396,import,2023-01-12,import,2023-01-12
96756,19110,Генеральная прокуратура Кыргызской Республики (аппарат),,96755,true,1,9ba00e0f-707e-4567-8e12-1bdc001b1528,import,2023-01-12,import,2023-01-12
96757,19120,Генеральная прокуратура Кыргызской Республики (подведомственные учреждения),,96755,true,1,4bd9cc4d-5127-42d4-9ee0-a40edf7cb2c0,import,2023-01-12,import,2023-01-12
96758,20,Военная прокуратура Кыргызской Республики,,,true,1,5ef87cc0-5464-49a4-a694-9f54f3ae7c67,import,2023-01-12,import,2023-01-12
96759,20110,Военная прокуратура Кыргызской Республики (аппарат),,96758,true,1,9a5e94c2-749e-40c7-9cbd-cabbb914a2e5,import,2023-01-12,import,2023-01-12
96760,21, Омбудсмен (Акыйкатчы)  Кыргызской Республики,,,true,1,36468746-af56-409c-bdbd-863dd55ef682,import,2023-01-12,import,2023-01-12
96761,21110,Омбудсмен (Акыйкатчы) Кыргызской Республики (аппарат),,96760,true,1,933e8470-9945-42bf-86f4-a80de59bc1de,import,2023-01-12,import,2023-01-12
96762,22,Министерство юстиции Кыргызской Республики,,,true,1,0298c0f0-6c68-45c4-8f65-01002eddb1e6,import,2023-01-12,import,2023-01-12
96763,22110,Министерство юстиции Кыргызской Республики (аппарат),,96762,true,1,08429c78-223e-4b1e-aed1-84bce00cc1f0,import,2023-01-12,import,2023-01-12
96764,22120,Министерство юстиции Кыргызской Республики (подведомственные учреждения),,96762,true,1,c68ed4ee-becb-4907-a55a-9b66d392e872,import,2023-01-12,import,2023-01-12
591956,22210,Департамент пробации при Министерстве юстиции Кыргызской Республики (аппарат),,96762,true,1,bb410a40-7bed-4b97-a232-6dfb13ef66e4,import,2023-01-12,import,2023-01-12
591957,22220,Департамент пробации при Министерстве юстиции Кыргызской Республики (территориальные органы),,96762,true,1,ae54b152-e813-42b3-8717-6a3d55b644c3,import,2023-01-12,import,2023-01-12
